metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.22226,0.49527,0.28523,0.22675,0.81393,3.73132,1.17663,1,1763390828,,False,1,35bf4_00009,2025-11-17_09-47-08,144.64546155929565,144.64546155929565,20324,LAPTOP-2DUVSE15,127.0.0.1,144.64546155929565,1
0.26904,0.53623,0.33978,0.26664,0.76274,2.92242,1.08662,2,1763390916,,False,2,35bf4_00009,2025-11-17_09-48-36,87.88010501861572,232.52556657791138,20324,LAPTOP-2DUVSE15,127.0.0.1,232.52556657791138,2
0.45192,0.52366,0.48751,0.39382,0.80767,2.3987,1.16114,3,1763391005,,False,3,35bf4_00009,2025-11-17_09-50-05,88.93858218193054,321.4641487598419,20324,LAPTOP-2DUVSE15,127.0.0.1,321.4641487598419,3
0.63399,0.56972,0.60775,0.48391,0.76631,1.8549,1.09316,4,1763391094,,False,4,35bf4_00009,2025-11-17_09-51-34,89.24303913116455,410.70718789100647,20324,LAPTOP-2DUVSE15,127.0.0.1,410.70718789100647,4
0.69871,0.63817,0.72795,0.60049,0.74279,1.37531,1.06164,5,1763391183,,False,5,35bf4_00009,2025-11-17_09-53-03,89.49764251708984,500.2048304080963,20324,LAPTOP-2DUVSE15,127.0.0.1,500.2048304080963,5
0.77577,0.71568,0.78537,0.6595,0.70151,1.17894,1.04415,6,1763391271,,False,6,35bf4_00009,2025-11-17_09-54-31,87.64089393615723,587.8457243442535,20324,LAPTOP-2DUVSE15,127.0.0.1,587.8457243442535,6
0.83027,0.72004,0.82129,0.69032,0.68269,1.0545,1.0343,7,1763391359,,False,7,35bf4_00009,2025-11-17_09-55-59,87.75358963012695,675.5993139743805,20324,LAPTOP-2DUVSE15,127.0.0.1,675.5993139743805,7
0.85343,0.68526,0.79712,0.67221,0.6748,0.99536,1.01793,8,1763391448,,False,8,35bf4_00009,2025-11-17_09-57-28,89.38063859939575,764.9799525737762,20324,LAPTOP-2DUVSE15,127.0.0.1,764.9799525737762,8
0.87898,0.78076,0.86915,0.73334,0.66933,0.82262,1.01996,9,1763391537,,False,9,35bf4_00009,2025-11-17_09-58-57,88.32882070541382,853.3087732791901,20324,LAPTOP-2DUVSE15,127.0.0.1,853.3087732791901,9
0.91826,0.77742,0.86804,0.72812,0.6844,0.77729,1.03432,10,1763391626,,False,10,35bf4_00009,2025-11-17_10-00-26,89.44636344909668,942.7551367282867,20324,LAPTOP-2DUVSE15,127.0.0.1,942.7551367282867,10
0.86118,0.79697,0.86685,0.72553,0.68459,0.7712,1.05843,11,1763391716,,False,11,35bf4_00009,2025-11-17_10-01-56,89.51377773284912,1032.2689144611359,20324,LAPTOP-2DUVSE15,127.0.0.1,1032.2689144611359,11
0.91308,0.77789,0.86858,0.73339,0.65828,0.72831,1.01829,12,1763391805,,False,12,35bf4_00009,2025-11-17_10-03-25,89.80942845344543,1122.0783429145813,20324,LAPTOP-2DUVSE15,127.0.0.1,1122.0783429145813,12
0.84182,0.79501,0.86021,0.72664,0.65901,0.75726,1.00541,13,1763391895,,False,13,35bf4_00009,2025-11-17_10-04-55,89.31892609596252,1211.3972690105438,20324,LAPTOP-2DUVSE15,127.0.0.1,1211.3972690105438,13
0.92481,0.81114,0.8958,0.75525,0.65078,0.64777,0.99927,14,1763391984,,False,14,35bf4_00009,2025-11-17_10-06-24,89.80115270614624,1301.19842171669,20324,LAPTOP-2DUVSE15,127.0.0.1,1301.19842171669,14
0.92464,0.79533,0.88436,0.74717,0.65859,0.63249,1.01528,15,1763392075,,False,15,35bf4_00009,2025-11-17_10-07-55,90.09202718734741,1391.2904489040375,20324,LAPTOP-2DUVSE15,127.0.0.1,1391.2904489040375,15
0.90866,0.82937,0.90161,0.76117,0.65952,0.61093,1.02313,16,1763392164,,False,16,35bf4_00009,2025-11-17_10-09-24,89.72097325325012,1481.0114221572876,20324,LAPTOP-2DUVSE15,127.0.0.1,1481.0114221572876,16
0.93028,0.84608,0.9227,0.77689,0.64177,0.56553,0.99193,17,1763392254,,False,17,35bf4_00009,2025-11-17_10-10-54,89.69688320159912,1570.7083053588867,20324,LAPTOP-2DUVSE15,127.0.0.1,1570.7083053588867,17
