epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9655,0.89492,3.73919,1.21407,0.19004,0.32908,0.1922,0.1319,1.01808,2.42101,1.49063,0.00331825,0.00331825,0.00331825
2,48.8382,0.79942,2.76872,1.12693,0.2598,0.48167,0.27747,0.21806,0.8452,2.13671,1.18168,0.00661866,0.00661866,0.00661866
3,70.4549,0.8612,2.49133,1.14844,0.21711,0.39458,0.26794,0.19857,0.97839,2.33194,1.37369,0.00988607,0.00988607,0.00988607
4,92.0514,0.86899,2.2197,1.14856,0.32315,0.49146,0.3631,0.28426,0.87273,2.24238,1.19071,0.0098515,0.0098515,0.0098515
5,113.992,0.84666,1.91061,1.13036,0.44339,0.50506,0.50278,0.39983,0.83728,1.7089,1.17037,0.009802,0.009802,0.009802
6,135.087,0.81868,1.72891,1.12374,0.57489,0.64014,0.59537,0.48399,0.76025,1.30712,1.10794,0.0097525,0.0097525,0.0097525
7,156.111,0.8062,1.54016,1.11514,0.67343,0.60835,0.68633,0.57113,0.73602,1.1374,1.09181,0.009703,0.009703,0.009703
8,177.25,0.78925,1.45106,1.11054,0.69451,0.65123,0.71822,0.59677,0.77088,1.09489,1.10358,0.0096535,0.0096535,0.0096535
9,198.537,0.77809,1.35595,1.08861,0.70627,0.60069,0.67591,0.55915,0.7262,1.51844,1.08684,0.009604,0.009604,0.009604
10,220.014,0.74758,1.26091,1.07453,0.80477,0.64751,0.77493,0.64098,0.73376,0.99956,1.07147,0.0095545,0.0095545,0.0095545
11,241.317,0.74542,1.18977,1.0678,0.81796,0.68687,0.78465,0.65562,0.73701,0.90699,1.08935,0.009505,0.009505,0.009505
12,262.605,0.73155,1.15972,1.06469,0.78969,0.69935,0.78492,0.65816,0.72202,0.96998,1.09434,0.0094555,0.0094555,0.0094555
13,283.794,0.72512,1.11248,1.06874,0.85184,0.70017,0.80058,0.67604,0.71814,0.87268,1.08166,0.009406,0.009406,0.009406
14,304.997,0.7062,1.05544,1.05562,0.85596,0.75579,0.84283,0.71286,0.70265,0.72256,1.06805,0.0093565,0.0093565,0.0093565
